folio,bandera,tipo_evento,fecha_evento,texto_iniciativa
246,Revisar: texto bajo,Estudio,2025-10-02,Iniciativa con proyecto de decreto por el que se reforman y adicionan diversas disposiciones del Código Penal del Estado de México.
266,Revisar: texto bajo,Estudio,2025-03-12,Iniciativa con Proyecto de Decreto por el que se reforma la fracción I. Septimus del artículo 31 de la Ley Orgánica Municipal del Estado de México.
322,Revisar: texto bajo,Dictamen,2024-12-02,"Iniciativa de Decreto por el que se autoriza al Titular del Ejecutivo Estatal, a desincorporar del patrimonio del Gobierno del Estado 50 hectáreas del Parque Estatal de Recreación Popular denominado “Parque Atizapán-Valle Escondido”, comúnmente conocido como “Los Ciervos”, ubicado en el Municipio de Atizapán de Zaragoza, Estado de México, para que sean restituidas a favor de la Comunidad Agraria del Poblado de Atizapán de Zaragoza, Estado de México."
324,Revisar: texto bajo,Estudio,2024-11-14,"Cuenta Pública del Estado, correspondiente al Ejercicio Fiscal del Año 2023."
324,Revisar: texto bajo,Dictamen,2024-11-25,"Cuenta Pública del Estado, correspondiente al Ejercicio Fiscal del Año 2023."
332,Revisar: texto bajo,Estudio,2024-12-02,"Iniciativa con Proyecto de Decreto por el que se reforman, derogan y adicionan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México."
332,Revisar: texto bajo,Estudio,2024-12-03,"Iniciativa con Proyecto de Decreto por el que se reforman, derogan y adicionan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México."
332,Revisar: texto bajo,Dictamen,2024-12-04,"Iniciativa con Proyecto de Decreto por el que se reforman, derogan y adicionan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México."
344,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
344,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
345,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
345,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
346,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
346,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
365,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
365,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
366,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
366,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
367,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
367,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
368,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
368,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
369,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
369,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
370,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
370,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
371,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
371,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
372,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
372,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
373,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
373,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
374,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
374,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
375,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
375,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
376,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
376,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
377,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
377,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
378,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
378,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
379,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
379,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
380,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
380,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
381,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
381,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
382,Revisar: texto bajo,Estudio,2024-12-11,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
382,Revisar: texto bajo,Dictamen,2024-12-17,"Por el que se aprueban las tarifas aplicables al pago de los derechos por los servicios públicos municipales de agua potable, drenaje, alcantarillado y recepción de los caudales de aguas residuales para su tratamiento, diferentes a las establecidas en el Código Financiero del Estado de México y Municipios, para el ejercicio 2025."
383,Revisar: texto bajo,Estudio,2024-12-02,"Iniciativa con Proyecto de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México."
383,Revisar: texto bajo,Estudio,2024-12-03,"Iniciativa con Proyecto de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México."
383,Revisar: texto bajo,Dictamen,2024-12-04,"Iniciativa con Proyecto de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México."
388,Revisar: texto bajo,Estudio,2024-11-28,"Iniciativa con Proyecto de Decreto por el que se reforman diversas disposiciones de la Ley de Prestación de Servicios para la Atención, Cuidado y Desarrollo Integral Infantil en el Estado de México y de la Ley de los Derechos de las Niñas, Niños y Adolescentes del Estado de México."
389,Revisar: texto bajo,Estudio,2025-11-27,"Iniciativa con Proyecto de Decreto que reforma los párrafos tercero y cuarto del artículo 38 Ter, y la fracción VII del artículo 78 de la Ley Orgánica del Poder Legislativo del Estado Libre y Soberano de México; y se adiciona el Capítulo XVIII del Funcionamiento del Parlamento Abierto y la Participación Ciudadana al Reglamento del Poder Legislativo del Estado Libre y Soberano de México."
393,Revisar: texto bajo,Estudio,2024-11-20,"Informe de la Cuenta Pública Estatal del Ejercicio Fiscal 2023, por parte del Órgano Superior de Fiscalización."
393,Revisar: texto bajo,Estudio,2024-11-21,"Informe de la Cuenta Pública Estatal del Ejercicio Fiscal 2023, por parte del Órgano Superior de Fiscalización."
394,Revisar: texto bajo,Dictamen,2024-11-25,"Informes de las Cuentas Públicas Municipal del Ejercicio Fiscal 2023, por parte del Órgano Superior de Fiscalización."
395,Revisar: texto bajo,Estudio,2024-12-02,"Iniciativa de Decreto por el que se reforma, adicionan y derogan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México."
395,Revisar: texto bajo,Estudio,2024-12-03,"Iniciativa de Decreto por el que se reforma, adicionan y derogan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México."
395,Revisar: texto bajo,Dictamen,2024-12-04,"Iniciativa de Decreto por el que se reforma, adicionan y derogan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México."
438,Revisar: texto bajo,Estudio,2025-03-31,Iniciativa con Proyecto de Decreto por el que se reforman y adicionan diversas disposiciones al Código para la Biodiversidad del Estado de México y a la Ley para la Protección Integral de Periodistas y Personas Defensoras de los Derechos Humanos del Estado de México.
438,Revisar: texto bajo,Estudio,2025-04-01,Iniciativa con Proyecto de Decreto por el que se reforman y adicionan diversas disposiciones al Código para la Biodiversidad del Estado de México y a la Ley para la Protección Integral de Periodistas y Personas Defensoras de los Derechos Humanos del Estado de México.
438,Revisar: texto bajo,Estudio,2025-04-02,Iniciativa con Proyecto de Decreto por el que se reforman y adicionan diversas disposiciones al Código para la Biodiversidad del Estado de México y a la Ley para la Protección Integral de Periodistas y Personas Defensoras de los Derechos Humanos del Estado de México.
446,Revisar: familia ambigua,Estudio,2025-02-04,Iniciativa de Decreto por el que se reforman y adicionan diversas disposiciones del Código para la Biodiversidad del Estado de México.
446,Revisar: familia ambigua,Dictamen,2025-02-10,Iniciativa de Decreto por el que se reforman y adicionan diversas disposiciones del Código para la Biodiversidad del Estado de México.
459,Revisar: texto bajo,Dictamen,2024-12-18,"Iniciativa de Decreto por el que se reforman, adicionan y derogan diversas disposiciones del Código Financiero del Estado de México y Municipios y otros ordenamientos."
460,Revisar: texto bajo,Dictamen,2024-12-18,"Iniciativa de Decreto por el cual se autoriza a los Municipios del Estado de México, para que, por conducto de las personas servidoras públicas legalmente facultadas para tales efectos, gestionen y contraten con cualquier Institución de Crédito, integrante del Sistema Financiero Mexicano, que ofrezca las mejores condiciones de mercado, uno o varios financiamientos, hasta por el monto que en cada caso se determine, para el destino, los conceptos, plazos, términos, condiciones y características que en este instrumento se establecen; para que afecten como fuente de pago del o los financiamientos que contraten, un porcentaje del derecho a recibir y los recursos que individualmente les correspondan del Fondo de Aportaciones para la Infraestructura Social Municipal y de las Demarcaciones territoriales del Distrito Federal y para que celebren los contratos o los convenios necesarios para adherirse a los mecanismos de pago de los financiamientos que individualmente contraten."
465,Revisar: familia ambigua,Estudio,2025-05-20,Iniciativa con Proyecto de Decreto de reforma Constitucional.
465,Revisar: familia ambigua,Dictamen,2026-05-06,Iniciativa con Proyecto de Decreto de reforma Constitucional.
466,Revisar: texto bajo,Dictamen,2024-12-19,Con motivo de la designación de la ciudadana o ciudadano Auditor Superior de Fiscalización del Estado de México.
481,Revisar: texto bajo,Estudio,2025-02-07,Iniciativa de Decreto por el que se reforman y adicionan diversas disposiciones del Código para la Biodiversidad del Estado de México.
481,Revisar: texto bajo,Dictamen,2025-02-12,Iniciativa de Decreto por el que se reforman y adicionan diversas disposiciones del Código para la Biodiversidad del Estado de México.
520,Revisar: texto bajo,Dictamen,2025-04-01,Iniciativa con Proyecto de Decreto por se reforma el párrafo cuarto del artículo 18 de la Constitución del Estado Libre y Soberano del Estado de México; Se adicionan 4 párrafos a la fracción III del artículo 8 de la Ley de Cambio Climático del Estado de México.
527,Revisar: texto bajo,Dictamen,2026-03-26,Iniciativa con Proyecto de Decreto que reforma el párrafo tercero de la fracción VI del Artículo 3.42 del Código Civil del Estado de México.
539,Revisar: texto bajo,Estudio,2025-03-27,"Iniciativa con Proyecto de Decreto por el que se reforma el párrafo octavo y décimo, se adiciona un párrafo onceavo, recorriéndose los subsecuentes del artículo 5, se reforman los párrafos quinto y sexto del artículo 83 Bis, así como el artículo 86 Bis de la Constitución Política del Estado Libre y Soberano de México; se reforma la fracción segunda y se adiciona un último párrafo al artículo 29 y se adiciona el artículo 29 Ter a la Ley de la Fiscalía General de Justicia del Estado de México y se adiciona una fracción XVI al artículo 35 de la Ley de Acceso de las Mujeres a una Vida Libre de Violencia del Estado de México."
539,Revisar: texto bajo,Dictamen,2025-04-08,"Iniciativa con Proyecto de Decreto por el que se reforma el párrafo octavo y décimo, se adiciona un párrafo onceavo, recorriéndose los subsecuentes del artículo 5, se reforman los párrafos quinto y sexto del artículo 83 Bis, así como el artículo 86 Bis de la Constitución Política del Estado Libre y Soberano de México; se reforma la fracción segunda y se adiciona un último párrafo al artículo 29 y se adiciona el artículo 29 Ter a la Ley de la Fiscalía General de Justicia del Estado de México y se adiciona una fracción XVI al artículo 35 de la Ley de Acceso de las Mujeres a una Vida Libre de Violencia del Estado de México."
545,Revisar: familia ambigua,Dictamen,2025-03-25,Iniciativa de Decreto por el que se reforman diversas disposiciones del Código Penal del Estado de México.
552,Revisar: texto bajo,Estudio,2025-07-09,Iniciativa con Proyecto de Decreto por el que se reforma el segundo párrafo de la fracción III del artículo 34 de la Ley en Materia de Desaparición Forzada de Personas y Desaparición Cometida por particulares para el Estado Libre y Soberano de México.
568,Revisar: familia ambigua,Dictamen,2026-01-13,Iniciativa de Decreto por el que se reforman diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México.
590,Revisar: texto bajo,Estudio,2025-03-28,Iniciativa de Decreto por el que se reforman diversas disposiciones del Código para la Biodiversidad del Estado de México.
621,Revisar: familia ambigua,Estudio,2026-03-19,Iniciativa con Proyecto de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley Orgánica Municipal del Estado de México.
623,Revisar: texto bajo,Estudio,2025-12-08,Iniciativa con Proyecto de Decreto por el que se reforman disposiciones de la Constitución Política del Estado Libre y Soberano de México.
647,Revisar: texto bajo,Dictamen,2025-04-30,"Para elegir dos Consejeras/os Ciudadanas/os, elegir o reelegir dos Consejeras/os Ciudadanas/os y elegir o reelegir una/un Consejera/o Ciudadana/o de extracción indígena de la Comisión de Derechos Humanos del Estado de México. Presentado por la Comisión Legislativa de Derechos Humanos."
649,Revisar: texto bajo,Dictamen,2025-09-30,Iniciativa con Proyecto de Decreto por el que se reforma el artículo 17 de la Constitución Política del Estado Libre y Soberano de México.
658,Revisar: texto bajo,Dictamen,2025-06-11,"Iniciativa con Proyecto de Decreto por el que se reforman los artículos 9 y 308; y, se adicionan los artículos 308 Bis, 308 Ter, 308 Quater y 308 Quintus y 308 Sextus del Código Penal del Estado de México."
677,Revisar: texto aprox,Sin reunión registrada,,Iniciativa con Proyecto de Decreto por el que se reforman y adicionan diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México.
688,Revisar: texto bajo,Sin reunión registrada,,Iniciativa con Proyecto de Decreto por la que se reforma el artículo 19 de la Ley de la Comisión de Derechos Humanos del Estado de México.
697,Revisar: texto bajo,Dictamen,2025-08-07,"Iniciativa de Decreto por el que se autoriza al Poder Ejecutivo del Estado, a desincorporar del patrimonio del Gobierno del Estado un inmueble, ubicado en el Municipio de Ecatepec de Morelos, Estado de México, para donarlo a título gratuito, a favor del Organismo Público Descentralizado denominado Instituto Mexicano del Seguro Social (IMSS), para la puesta en operación de un hospital."
764,Revisar: texto bajo,Dictamen,2025-09-22,Con motivo de la designación de la persona titular de la Presidencia de la Comisión de Derechos Humanos del Estado de México.
777,Revisar: texto bajo,Sin reunión registrada,,Solicitud de Diferendos Limítrofes Intermunicipales presentada por el Ayuntamiento de Teoloyucan contra los Municipios de Cuautitlán y Cuautitlán Izcalli.
780,Revisar: familia ambigua,Estudio,2026-02-12,Iniciativa con Proyecto de Decreto por el que se reforman y adicionan diversos artículos del Código Penal del Estado de México.
780,Revisar: familia ambigua,Dictamen,2026-02-26,Iniciativa con Proyecto de Decreto por el que se reforman y adicionan diversos artículos del Código Penal del Estado de México.
947,Revisar: texto bajo,Estudio,2026-02-24,"Iniciativa con Proyecto de Decreto por el que se adiciona una fracción XVII bis al artículo 2.16, se reforma el título del CAPÍTULO SÉPTIMO DE LA ATENCIÓN INTEGRAL AL CÁNCER, el artículo 2.48 Undecies y se adiciona un párrafo, se recorren los artículos 2.48 Duodecies al 2.48 Vicies, a la Sección Segunda y los artículos 2.48 Unvicies. al 2.48 Quatervicies a la Sección Tercera, ambas secciones de reforman sus denominaciones; se adiciona una Sección Cuarta denominada De La Prevención, Tratamiento y Seguimiento del Cáncer en Niñas, Niños y Adolescentes y se adicionan los artículos 2.48, 2.48 Sexvicies.,2.48 Septvicies, 2.48 Octovicies, 2.48 Novovicies, 2.48 Tricies, 2.48 Untricies, 2.48 Duotricies, 2.48 Terticie y 2.48 Quatricies, al Código Administrativo del Estado de México."
947,Revisar: texto bajo,Dictamen,2026-04-08,"Iniciativa con Proyecto de Decreto por el que se adiciona una fracción XVII bis al artículo 2.16, se reforma el título del CAPÍTULO SÉPTIMO DE LA ATENCIÓN INTEGRAL AL CÁNCER, el artículo 2.48 Undecies y se adiciona un párrafo, se recorren los artículos 2.48 Duodecies al 2.48 Vicies, a la Sección Segunda y los artículos 2.48 Unvicies. al 2.48 Quatervicies a la Sección Tercera, ambas secciones de reforman sus denominaciones; se adiciona una Sección Cuarta denominada De La Prevención, Tratamiento y Seguimiento del Cáncer en Niñas, Niños y Adolescentes y se adicionan los artículos 2.48, 2.48 Sexvicies.,2.48 Septvicies, 2.48 Octovicies, 2.48 Novovicies, 2.48 Tricies, 2.48 Untricies, 2.48 Duotricies, 2.48 Terticie y 2.48 Quatricies, al Código Administrativo del Estado de México."
